Electrical_Capacitance,Skin_Temperature,Skin_Conductance,Ambient_Humidity,Ambient_Temperature,Time_of_Day,Target
70.52713539,30.8697242,0.701956214,66.43075784,26.39609085,2,1
58.24579409,30.34791059,1.142324305,74.38757623,23.2228191,3,0
70.95340463,28.90064312,1.964802098,75.61272806,31.00102774,3,1
73.56030266,28.43707536,1.468041145,79.60460935,29.40175726,2,1
21.58201847,35.41106085,2.375930463,71.02882197,23.78303603,3,0
37.38508717,29.12569222,1.775376494,66.01666846,27.49427618,1,0
71.13089002,28.88798479,0.774296976,50.44636179,21.36554472,1,0
27.23815227,28.00107754,0.937419601,46.00905837,26.77320534,2,0
29.81935657,31.87261656,1.690425668,57.11932801,24.26156224,3,0
77.66421905,35.60742876,1.31549621,53.23447342,33.14438523,2,1
26.63790422,28.60991374,1.593391364,55.19443984,23.82080751,3,0
68.20885582,32.65758997,2.258371545,46.27091403,27.37271339,1,0
28.20911786,30.47830287,1.289144631,52.76643749,34.66569219,1,0
61.05398159,29.80253544,0.635005093,56.88460643,25.19703931,3,1
56.70324477,28.01252084,1.536016133,66.90753774,33.54646261,3,1
65.05226407,33.16657909,0.998017472,64.3012112,32.8756007,1,1
43.10586372,35.27701456,0.730789284,75.71702213,34.6775895,1,0
74.32103852,32.46913917,1.039023725,58.9564902,31.84796932,1,1
53.40577358,28.15462105,1.63156311,68.40446892,28.78228907,1,1
55.14653488,28.53155075,1.265597529,77.28873585,27.96288551,2,1
50.64483815,31.4199175,2.176983668,77.25612244,23.50413548,3,1
57.86831756,30.39935289,0.944722609,51.16790137,27.87711278,2,1
65.64710292,29.63013167,1.298070635,64.46396606,28.78794576,2,1
78.55112477,31.17612033,1.201041069,75.6863747,23.01704814,2,1
73.43163684,30.88040373,0.808984408,64.45716785,26.73722304,2,1
25.32215203,30.54069436,1.057286126,75.20174932,22.32027272,1,0
77.00371802,29.12442374,0.76016134,52.33443609,34.70972329,3,1
67.64151136,30.32403605,0.881219666,67.41876247,32.81926195,3,1
79.16006383,30.07467918,2.108828119,57.87123723,28.47608425,1,0
61.88970284,34.62015138,1.073039098,57.14390662,26.36739249,1,1
49.49695251,34.00942438,2.278255848,77.20206391,32.32366538,3,0
51.20981007,30.79056427,2.107609781,77.28367685,33.71876653,2,1
30.89586301,34.83027937,2.101961401,77.23750401,28.49665528,1,0
56.38574358,33.91923297,1.853881566,76.69937093,29.96111182,3,1
75.53411077,29.29337149,1.195037591,72.7284332,31.51791385,2,1
55.44999563,29.5687817,0.906945485,72.12320534,27.65589082,1,1
21.88575114,35.32072055,0.685250966,30.45827751,32.24341778,3,0
30.39211219,28.64144011,1.764782649,64.69316712,22.6969672,2,0
60.1185932,31.03275239,0.97386665,54.12118008,29.09324963,3,1
24.88092684,29.23316035,2.35827904,36.37040358,26.20889087,3,0
74.89075406,35.94604012,2.365109757,60.28496202,27.54602484,2,1
22.71824059,30.89535993,0.904508361,53.53924985,20.49238248,3,0
76.93313224,35.77604264,0.702745795,59.33839539,21.63919168,3,1
73.68964103,35.56558518,1.07492333,54.18984483,30.3975404,2,1
60.30204106,32.90883291,1.185290293,79.46083417,29.88733317,1,1
30.71267972,35.52627616,2.368608228,71.13239636,30.34552302,2,0
54.24669828,33.25882786,2.321211434,62.11390818,33.20632854,1,1
21.59193223,34.124374,1.258080971,41.05738051,33.68876327,2,0
36.40442432,35.65958415,2.018585014,57.38080503,31.72034328,3,0
57.65348481,29.19036776,2.342615024,54.81613856,33.98200873,3,1
50.45662272,28.07939057,2.050488104,42.83308449,23.95709112,1,0
59.0852233,30.3724793,0.668255325,75.06296039,32.95365505,3,0
64.10426263,30.55093455,0.567352808,64.37184305,23.8690926,3,1
79.81245511,30.00801107,1.624377622,54.70058353,29.85796492,2,1
55.84478613,35.4633989,0.967625666,43.94359631,28.65438725,2,0
47.13307645,28.23335811,0.942477393,34.75282684,23.93169458,3,0
39.42075418,32.24750143,2.153717122,33.61786289,26.42029029,1,0
26.43032068,33.70436841,0.687553053,63.36755815,24.33789728,2,0
51.7790347,34.30757875,2.157111196,55.09677904,27.80240335,1,1
39.20297606,33.41696512,1.996367824,48.18057246,26.81724099,3,0
66.13924491,33.90295615,0.965011984,72.02213753,28.12003074,2,1
65.20269112,29.55699069,1.930200323,42.80105865,32.88008082,2,0
78.15815214,28.99856651,1.476991265,73.57759282,29.80484715,3,0
78.168226,28.8920977,2.102891552,33.67816771,28.00588121,1,0
76.83491464,30.41866599,1.799017859,65.39739134,30.33663622,3,0
79.06413084,28.62764653,1.745506806,59.83614951,22.56986817,2,1
53.90799102,32.97874612,0.706530018,38.22626862,27.60155061,3,0
54.87429329,30.49491086,1.835735813,64.47671045,28.84206205,3,1
41.03525353,31.22298626,1.416862848,55.01525782,27.27921076,3,0
52.95359988,35.26088802,1.596838326,42.29998702,21.96396878,1,0
36.61265889,30.16314629,2.190241703,67.22096269,21.46560913,2,0
57.91023273,32.04364094,2.067476502,54.26278021,22.00273327,2,1
35.10693775,32.32635004,2.341533217,36.62870387,30.5529251,2,0
73.22518546,32.37318576,0.705135925,76.62219892,28.6579962,1,1
58.10561905,33.42935965,1.041885397,52.74753884,32.16743906,2,1
58.59729311,31.37627408,1.043892079,52.69232819,21.98905986,3,1
75.59525751,32.82794477,1.478785075,65.7193781,22.59230077,2,1
65.6906379,34.61365888,2.481358314,53.00513133,28.81554843,1,0
24.5082669,34.53702514,0.952158142,40.98613751,28.30141551,2,0
22.71312021,33.01274009,2.205094842,60.47338817,24.7897532,2,0
64.78948431,30.25216959,0.50398427,65.73511582,24.70051542,1,1
48.12158959,30.23007898,0.794551127,60.63421723,20.33756491,1,0
20.27792138,29.82941424,1.225119593,49.0573441,34.89205967,1,0
64.46723896,31.66396607,0.871466144,67.41194031,25.82796722,2,1
74.24952167,34.42786195,2.054098571,71.03207802,26.7224131,3,1
62.41144063,35.03665484,1.695336565,55.18458806,32.49906923,2,1
57.93585728,30.97379253,1.867732904,73.45495344,20.73737785,2,0
25.4949244,34.92236607,1.384214069,43.65798102,27.72394243,1,0
61.30414379,28.41334977,0.690721843,69.1976259,25.64062687,1,1
77.7468377,34.55250811,1.242225877,77.28882486,21.80406445,1,1
54.29676137,28.99494719,2.358289434,67.36123225,24.7348044,1,1
42.61666577,28.60484032,1.655782225,33.93492884,28.86130582,1,0
27.08988966,34.57937899,1.236694428,51.54915314,27.72391263,3,0
64.28201699,34.45656723,0.578783667,31.9295781,32.79759468,2,0
73.78014911,30.25977941,2.165859431,54.52272043,28.67878023,1,1
71.06820029,33.3536021,1.711275779,43.26425445,20.16005191,2,0
53.65627829,35.58150421,1.511017521,53.24273904,26.19791718,1,1
40.19625669,29.00440172,1.135099401,62.23599887,24.844681,1,0
53.57841988,32.64071068,1.209795367,78.65723557,30.42844484,3,1
66.2762208,29.91036969,2.393467458,58.69875875,29.14292765,2,1
57.45427975,33.08763766,2.269173776,63.118593,21.5154237,1,1
58.00422539,33.23434042,0.898540673,55.85589654,26.12356279,3,1
46.33828524,32.05929551,1.945475504,78.34327751,27.15130813,2,0
39.32474993,28.84291938,2.316869104,46.63450898,26.37503621,1,0
49.90206636,31.182693,1.418248047,37.9143128,34.15347826,2,0
51.21846205,31.25685191,1.104839023,71.48219027,25.82182185,2,1
52.16578198,34.11622236,2.105280625,71.64467974,24.63986337,3,1
31.28726958,31.09232405,2.265829633,58.47411941,34.07867359,1,0
49.55106163,34.818111,0.615464318,57.19389606,28.85639155,1,0
79.19091493,35.0412539,1.502551289,61.07322113,26.18140414,1,1
37.19247513,31.85632846,2.303548057,77.42125778,21.11765693,1,0
44.05108501,29.57540564,1.427963396,76.21092174,30.98356871,1,0
56.80491176,28.49966075,1.1705581,71.84639164,22.78288963,1,1
76.48788853,32.61759909,2.378136959,54.00674698,27.75681332,2,1
21.5251476,34.38331328,0.516639884,41.83165657,26.61132415,1,0
63.85204851,28.18875972,1.022097052,79.27620666,27.43575515,1,1
59.75133706,33.78251443,1.909108856,49.15294032,21.51129266,2,0
74.06948063,35.84789903,1.685680361,63.93300469,31.48644982,3,1
56.40290278,35.68108484,2.467134413,45.76083687,34.88023954,1,0
52.24373618,30.57335992,0.918118747,52.58194978,33.17796124,2,1
34.25825264,31.60280783,2.149486475,45.72170529,26.03442017,3,0
75.25051296,29.30159795,1.727940613,51.57540599,25.19399076,3,0
54.59098853,28.33937839,1.336289576,53.76795338,24.7005411,2,1
50.35332073,32.55631824,1.689694759,51.44437157,22.10980009,3,1
55.41769655,29.8433333,0.578538828,74.03252887,30.98435851,3,1
51.95703599,35.72838004,2.341479301,46.33109529,32.00546283,3,0
69.08088596,33.07737019,1.845743337,33.52303388,21.90404087,2,0
40.95257448,31.57644435,1.511268307,57.088016,24.75026534,3,0
55.21046708,30.95850605,2.155106105,33.66228021,23.41667512,3,0
72.64832081,31.44788176,1.019152899,58.05751062,32.78808111,3,1
60.35110736,28.24764633,0.964036361,34.29551941,31.41057209,2,0
73.91325131,28.3361974,2.217633542,35.63046147,25.65877979,1,0
53.32590234,28.11452222,1.098766747,55.00989678,31.81023273,3,1
77.81719863,32.79182807,2.241053933,38.14513272,33.69808943,2,0
51.88127789,32.57638915,2.494364708,51.5158214,23.88552716,2,1
50.31514235,31.27703116,2.497785224,58.6203863,28.74999365,2,1
54.57730161,35.54961274,2.137480459,79.31749615,27.21179252,3,1
51.46341616,35.60367336,1.24691589,30.46004488,32.91513232,2,0
26.72233413,30.9422879,0.846992101,67.46576776,22.15531438,2,0
63.95432583,34.28964522,1.050478362,38.08188469,24.12468788,2,0
24.96792008,29.56192482,1.647899732,73.9440573,23.96895668,2,0
77.01424123,30.32036426,1.559881174,75.42187739,21.61886832,2,1
59.5216179,32.90058775,2.315677028,54.81475628,32.78658328,3,1
67.01918076,35.24888802,1.576045411,57.11499878,25.81646493,2,1
57.44893447,33.83475835,0.512758087,56.87468768,33.08694223,1,1
57.08769443,28.70883771,2.229317844,38.34148525,25.97082261,3,0
28.18228854,28.40180809,0.613957454,35.66935478,29.84219138,3,0
58.75503448,29.69595244,1.730258281,53.84959577,22.33627434,2,1
46.84474201,33.33108331,1.47226097,32.19234262,32.13466624,3,0
58.45248469,34.43166806,0.850983255,71.99991116,20.14308431,1,1
72.11594769,28.31567626,1.835521183,62.53941604,27.80271105,2,1
65.69717692,30.78353129,0.628012693,53.09032408,25.77438084,2,0
43.03347328,32.6263872,1.827047188,38.56367053,22.24323978,1,0
52.61317167,29.17570168,1.322394978,67.08189093,21.55759079,2,1
67.37708857,28.18681677,1.74748617,64.50376771,23.80463712,2,1
46.40914962,30.00773329,1.537401989,63.18123604,34.59568024,3,0
27.02402099,35.10722938,1.673873013,63.28922007,21.9548592,2,0
51.38587065,34.3536853,1.3037744,52.33697627,34.3433176,3,1
30.1695648,35.0318312,1.174413151,46.03313774,26.19259097,3,0
38.27682615,28.91276628,1.364037855,43.24835308,24.07072093,3,0
69.72425055,34.45122894,1.698089174,63.85468924,34.22981121,2,1
61.82094446,32.7335773,1.448510042,39.57448075,29.85678259,3,0
56.34648916,29.72592543,0.60048602,68.89388528,20.53418225,2,1
55.47652614,31.99116532,1.218417494,42.67468766,28.79273531,2,0
56.95100588,33.34858117,1.932794224,43.38871573,31.2947929,1,0
41.20113368,31.93860384,0.922463663,33.91691089,34.66990136,2,0
61.08387035,29.60379612,2.294731732,57.84091801,22.30047241,3,1
55.39506121,30.36232395,1.950012153,74.70497681,28.13050018,1,1
71.18056733,28.91946398,1.762837842,70.62068288,31.96703558,1,1
48.33289551,31.04336006,1.006203078,34.28971424,33.26367761,2,0
55.00350769,35.6850158,1.653714762,47.09672468,27.43729209,3,0
47.36419905,31.35034655,0.613171312,60.19015394,23.45126738,1,0
68.63319985,31.81474775,1.271195185,41.9605544,33.84949262,1,0
56.71117368,35.70715547,1.071516649,57.53452723,27.46803771,1,1
77.99928914,34.65098812,1.32391619,73.13853887,28.86307884,3,0
24.4426791,31.60991475,0.711811609,61.87023061,28.77792178,2,0
45.6910489,28.50912727,1.500225504,63.42733476,23.24203718,2,0
20.33132703,29.63905019,1.125814788,61.15862123,30.99085123,3,0
43.35210072,30.91674983,2.216046542,63.48056283,20.05579491,3,0
51.1274373,28.63525268,1.985762987,73.34276065,25.9437102,1,1
55.81057094,35.76205688,1.352242476,65.45903519,24.99227542,1,1
50.9780209,28.69674213,1.245066548,71.64970693,22.67943315,2,1
51.47068337,29.5937222,0.723186,56.39060541,23.21264379,3,1
59.82026992,31.04414168,2.447600827,79.13262057,21.74668286,3,1
60.31356462,34.84024161,1.962972719,52.86152098,26.64371147,1,1
77.90161464,35.79355555,0.657878806,76.11538877,30.37258319,3,1
75.4816171,28.26551484,1.119613751,69.00420119,21.03485013,1,1
53.23125706,34.32407835,1.571870158,30.63827133,29.75138677,2,0
75.77174865,30.39840422,1.123758872,77.70658208,32.67838337,3,1
71.643835,29.32763916,0.662298357,43.90718202,34.00423067,1,0
68.44640931,34.42882828,1.041612656,75.37315882,24.34981089,3,1
46.24849532,30.24803599,1.834424674,32.75782953,33.49864315,2,0
67.71603871,29.82588291,0.684721056,51.22863036,23.22116754,2,1
54.98249366,31.33252663,1.002338535,70.15665445,31.33155909,2,0
56.18912657,30.76273562,1.285790218,45.74666137,27.79252782,1,0
44.52405027,31.35558395,2.154604299,74.60371755,20.0653937,2,0
62.80097515,33.06169503,2.000531528,54.43024629,30.11329449,1,1
63.3351541,29.32599824,1.633210518,70.16522868,23.4595796,1,1
77.02468904,32.70985218,0.563487531,59.96387589,23.47374487,3,1
67.11055768,30.08126233,1.247842094,54.6670794,26.09123199,2,1
55.05885872,31.70140484,1.666381609,50.18233472,30.80879629,3,1
51.36396976,32.62074693,2.454013909,71.77858525,21.24558137,3,1
62.24478609,34.35612436,1.112926936,66.77603529,22.55795584,3,1
73.23276455,34.57682528,1.665852114,45.49235584,20.78068758,1,0
41.65843382,29.05372023,1.485070761,35.84020539,24.44098265,2,0
76.68594379,34.67315678,0.759357956,65.0646671,24.85843329,3,1
74.38126311,30.77821631,1.246245237,60.20024989,26.62320933,3,1
68.13181885,30.06896668,2.430030739,54.87830417,25.00051757,1,1
45.89957277,34.14054103,0.560927373,67.62046166,25.57195009,1,0
21.23506966,28.2689088,1.59771733,42.52414734,32.59112056,1,0
58.46885797,29.67348372,2.296772933,55.91091578,25.08454889,2,1
29.67327724,29.61612535,0.98404416,75.91425177,24.57821795,3,0
46.16759175,33.30437753,1.290310595,42.23999365,27.24341655,1,0
73.55353991,28.66771268,0.996752521,64.62864,22.57564983,2,1
52.14648104,34.73158042,1.505262485,64.96564606,27.21412412,1,1
47.76078714,30.92544599,2.30871955,60.18775719,28.99045328,2,0
71.50476511,29.23567798,2.150831328,38.12492077,28.84593554,3,0
60.29439174,31.26034425,1.46907599,42.62930033,25.60475445,3,0
21.3481585,35.21552157,0.551539198,43.03331913,28.91497601,3,0
58.01178265,30.81899957,1.102092156,61.46095965,26.30945355,1,1
60.65386171,33.49061757,1.810347429,54.15070564,32.24050253,1,1
25.30955012,31.69836449,1.707274401,70.13281221,25.04469091,1,0
50.09097768,32.80520853,2.142776726,73.75043499,31.13301514,3,0
70.09581421,33.28811403,0.862366558,68.46252796,23.41132593,3,1
24.90554192,33.92723245,2.095464527,49.85934432,21.59138075,3,0
42.06698796,33.20918068,1.387838909,66.49445589,34.44177212,2,0
79.57788777,34.95975328,2.10562187,54.85836404,30.57366699,2,0
35.47326113,31.14556161,0.740775158,38.44168033,34.70077914,3,0
77.67143383,28.98402636,1.1490236,54.66237465,26.7099864,3,1
64.273815,35.64048409,2.003493985,39.6894565,32.37962604,3,0
50.8540663,35.85037672,1.783468795,79.21609894,23.41448804,2,1
60.08510819,29.2127606,1.962992928,54.53067879,20.14550532,2,1
48.45042975,28.9682,1.694310612,62.711789,26.93928908,3,0
74.00111851,32.07112444,1.704898884,66.44352547,33.96211509,1,1
46.49183008,28.92911168,1.626790701,35.03099886,21.75318141,1,0
64.72636845,28.41884016,0.841416727,70.61586664,28.75787401,2,1
77.93792198,32.86821818,1.055705552,52.28649105,31.91576338,3,0
56.68725413,30.07633427,1.977733354,62.6132003,30.74947905,1,1
54.40627329,28.22029376,1.220853654,71.25674378,26.78274409,1,1
69.78450822,33.71539331,1.286207815,38.1960131,33.93891463,1,0
52.73700736,31.88800395,1.028123969,72.48000875,26.80055908,1,1
